date,swap_count,volume_usd,fees_usd
2024-12-06 00:00:00,5924,444366836.5,222183.4183
2024-12-05 00:00:00,6071,584556041.9,292278.021
2024-12-04 00:00:00,5668,324121628.3,162060.8141
2024-12-03 00:00:00,5686,308749091.1,154374.5456
2024-12-02 00:00:00,5433,347201928.8,173600.9644
2024-12-01 00:00:00,4843,168153932.4,84076.96621
2024-11-30 00:00:00,5312,173876982.7,86938.49133
2024-11-29 00:00:00,4845,139650997.3,69825.49864
2024-11-28 00:00:00,5319,242975295.1,121487.6475
2024-11-27 00:00:00,6211,404948191.5,202474.0958
2024-11-26 00:00:00,5936,381992228.5,190996.1142
2024-11-25 00:00:00,6745,593827873.4,296913.9367
2024-11-24 00:00:00,5303,228957292.4,114478.6462
2024-11-23 00:00:00,5989,349039347.2,174519.6736
2024-11-22 00:00:00,5801,316839300.5,158419.6503
2024-11-21 00:00:00,6555,496036452.3,248018.2261
2024-11-20 00:00:00,5227,334040751.3,167020.3756
2024-11-19 00:00:00,5258,339114597.8,169557.2989
2024-11-18 00:00:00,5718,479920081.1,239960.0405
2024-11-17 00:00:00,5156,382132865.6,191066.4328
2024-11-16 00:00:00,5325,274941928.8,137470.9644
2024-11-15 00:00:00,5935,309128608.4,154564.3042
2024-11-14 00:00:00,5897,436235052.7,218117.5264
2024-11-13 00:00:00,6218,556021467.4,278010.7337
2024-11-12 00:00:00,7365,676423081,338211.5405
2024-11-11 00:00:00,6599,523677964.2,261838.9821
2024-11-10 00:00:00,6166,280264795.2,140132.3976
2024-11-09 00:00:00,4726,163722543.2,81861.27161
2024-11-08 00:00:00,4736,177777631.6,88888.81579
2024-11-07 00:00:00,5869,254944009.5,127472.0047
2024-11-06 00:00:00,7210,504733499.6,252366.7498
2024-11-05 00:00:00,5494,184690635,92345.31748
2024-11-04 00:00:00,4661,156107835.3,78053.91767
2024-11-03 00:00:00,4792,161014598.3,80507.29914
2024-11-02 00:00:00,3455,74079888.69,37039.94434
2024-11-01 00:00:00,4733,244226941.6,122113.4708
2024-10-31 00:00:00,4574,240195559.3,120097.7797
2024-10-30 00:00:00,4141,206500434.3,103250.2171
2024-10-29 00:00:00,4263,166902208.6,83451.10432
2024-10-28 00:00:00,3810,148775906.6,74387.95331
