strategy,ann_return,ann_vol,sharpe,max_drawdown,n_obs
HODL ETH,-0.18477132941248153,0.6772011057367422,-0.0369982871993863,-0.5558236745938849,455
stETH (Lido),-0.17080176475857223,0.6753068593410703,-0.013658568412004801,-0.5566130418091336,455
Uniswap v3 LP (delta-hedged proxy),0.16682113863259174,0.33781262832598413,0.4818695215497033,-0.2648653398678871,455
