date,eth_close,eth_high,eth_low,eth_open,eth_volume,steth_close,steth_volume,rf_3m_pct,gas_avg_gwei,lido_apr_pct,lido_tvl_usd,swap_count,volume_usd,fees_usd,eth_simple_return,eth_log_return,eth_realised_vol_30d,eth_sigma_daily,eth_close_prev,steth_simple_return,steth_eth_ratio,steth_peg_bps,steth_daily_yield,uni_fee_apr_daily,uni_fee_apr_annualised,lvr_daily,lp_edge_daily,strat_HODL,strat_stETH,lp_daily_return,strat_LP
2024-01-01,2352.327880859375,2352.327880859375,2267.01806640625,2282.870361328125,6906765990,2277.753313786249,9363343.4608926,,14.906085174,,,5475,144817616.0,72408.80798,,,,,,,,,,0.0003620440399,0.1321460745635,,,1.0,1.0,0.0003620440399,1.0003620440399
2024-01-02,2355.83642578125,2431.21240234375,2348.892333984375,2352.593505859375,12910543630,2345.476128327646,17260177.78205445,5.22,22.28459059,,,6778,237087219.2,118543.6096,0.001491520357524756,0.0014904091458287638,,,2352.327880859375,0.029732286692988552,0.9970872459628265,-29.127540371735037,,0.000592718048,0.21634208752,,,1.0014915203575248,1.0297322866929886,0.0013384782267623781,1.001701006854727
2024-01-03,2210.761962890625,2385.11767578125,2113.92529296875,2355.9814453125,19332933581,2354.261240347121,28720127.173708145,5.24,39.988832546,,,6643,423266150.0,211633.075,-0.06158087263741796,-0.06355859889814752,,,2355.83642578125,0.003745555929294042,0.9993313689282963,-6.686310717036736,,0.001058165375,0.38623036187500004,,,0.939818798594934,1.033589206564997,-0.02973227094370898,0.9719181611143362
2024-01-04,2269.0380859375,2294.608154296875,2204.86572265625,2210.529052734375,11044564896,2207.7352478058738,41038774.5932596,5.24,26.099893223,,,6410,222699468.6,111349.7343,0.02636019798833411,0.026018755301935315,,,2210.761962890625,-0.06223862926938517,0.9986309176946424,-13.69082305357594,,0.0005567486715,0.20321326509749998,,,0.9645926081990548,0.9692600311207602,0.013736847665667056,0.9852692528370589
2024-01-05,2268.647216796875,2276.7646484375,2209.537109375,2269.409423828125,10860953290,2270.998512704989,9731579.89558909,5.24,22.821996688,,,6046,247241810.4,123620.9052,-0.00017226204489362296,-0.00017227688370358152,,,2269.0380859375,0.0286552769232582,1.0008639902431073,8.639902431073487,,0.0006181045259999999,0.22560815198999998,,,0.9644264455038771,0.9970344457231715,0.0005319735035531884,0.9857933899734338
2024-01-06,2241.624755859375,2271.359375,2219.781982421875,2269.5400390625,5970741680,2264.364213755592,34504712.98649811,5.24,20.329524156,,,4311,93926487.65,46963.24383,-0.011911266210730354,-0.011982773739482866,,,2268.647216796875,-0.0029213136478433155,0.998112089438335,-18.879105616650406,,0.00023481621915,0.08570791998975,,,0.952938905370812,0.9941217953895105,-0.005720816886215177,0.9801538465017545
2024-01-07,2222.865966796875,2257.1279296875,2211.5625,2242.0126953125,6490053615,2239.912028477092,10969864.170687,5.24,32.535045832,3.1,20603031243.0,3506,108440139.8,54220.0699,-0.008368389496710593,-0.008403601048354581,,,2241.624755859375,-0.010798697987698946,0.9992359437600757,-7.640562399242601,8.493150684931507e-05,0.0002711003495,0.09895162756749999,,,0.9449643414441,0.9833865743581102,-0.003913094398855297,0.976318411974992
2024-01-08,2333.03271484375,2358.815673828125,2171.99365234375,2222.857666015625,13830287095,2218.9809783068144,13648386.299773542,5.25,27.437921443,3.3,21702077217.0,6702,284707844.7,142353.9224,0.04956067963271038,0.0483716762657842,,,2222.865966796875,-0.00934458581594766,0.9982522614732103,-17.47738526789666,9.04109589041096e-05,0.0007117696120000001,0.25979590838,,,0.9917974164347462,0.97419723412377,0.02549210942835519,1.0012068277699764
2024-01-09,2344.8271484375,2369.6416015625,2243.21923828125,2332.8681640625,14891130716,2329.091156554353,18859140.343907014,5.24,24.802785501,3.5,21511050786.0,6527,371239209.1,185619.6046,0.005055408575588727,0.00504267290230942,,,2333.03271484375,0.04962195680089043,0.9983105430694053,-16.89456930594746,9.589041095890412e-05,0.0009280980229999999,0.338755778395,,,0.9968113575990372,1.0225388071910066,0.0034558023107943633,1.004666800638967
2024-01-10,2582.103515625,2626.976806640625,2341.943115234375,2344.923583984375,29042100476,2342.511778937212,32658356.234851956,5.23,41.561765444,4.0,23494154968.0,7515,476249382.1,238124.691,0.10119141078079541,0.09639269438375209,,,2344.8271484375,0.005762171371048286,0.9990125628228798,-9.874371771202428,0.00010958904109589041,0.001190623455,0.434577561075,,,1.0976801051568037,1.0284308510315885,0.0517863288453977,1.0566948059569101
2024-01-11,2619.619140625,2687.779052734375,2567.99365234375,2584.171630859375,22575246883,2571.751554938807,42274741.807983145,5.23,35.400353754,3.9,24326480765.0,7002,275264928.1,137632.4641,0.014529094117638142,0.014424558155059053,,,2582.103515625,0.09786067163581147,0.9959908808366704,-40.09119163329578,0.00010684931506849315,0.0006881623205000001,0.25117924698250005,,,1.1136284027156858,1.129073784844529,0.007952709379319071,1.0650983926513213
2024-01-12,2524.460205078125,2710.421875,2460.925537109375,2619.177001953125,23623839263,2621.562225031212,41649757.05470476,5.22,27.776006348,3.3,23120204457.0,7613,517031162.2,258515.5811,-0.036325484903951155,-0.037001681326647606,,,2619.619140625,0.019368383387092125,1.000741743093902,7.417430939020697,9.04109589041096e-05,0.0012925779055000001,0.47179093550750006,,,1.073175310984226,1.1509421187817128,-0.016870164546475577,1.0471300075091068
2024-01-13,2576.597900390625,2589.079833984375,2498.594482421875,2522.933837890625,12250316867,2523.541080303175,26841754.42293346,5.22,19.986845329,3.5,23924527266.0,5419,212011482.7,106005.7413,0.020653007406344237,0.02044262579299705,,,2524.460205078125,-0.03739035594582163,0.9996359123534208,-3.6408764657924753,9.589041095890412e-05,0.0005300287065,0.19346047787249998,,,1.095339608630289,1.1079079832874266,0.010856532409672118,1.0584982083727696
2024-01-14,2472.2412109375,2578.332275390625,2470.42431640625,2578.003662109375,9405587417,2580.766815503295,13384020.214274809,5.22,38.786781856,3.3,23471325505.0,4119,168769568.2,84384.78411,-0.04050173658734413,-0.0413447734238197,,,2576.597900390625,0.022676759909628696,1.0016179921252122,16.179921252121865,9.04109589041096e-05,0.00042192392055,0.15400223100075,,,1.0509764523278604,1.1330317466263964,-0.019828944373122066,1.0375093062798966
2024-01-15,2511.36376953125,2550.76904296875,2470.82080078125,2471.6669921875,9700630000,2471.0562770123206,17910523.072135743,5.22,26.164485426,3.3,23531312308.0,4745,160815558.0,80407.77898,0.01582473361444947,0.015700827990378308,,,2472.2412109375,-0.04251082966191155,0.9995207045655832,-4.792954344168265,9.04109589041096e-05,0.00040203889490000004,0.14674419663850002,,,1.067607874721008,1.0848656270440236,0.008314405702124735,1.0461355795720375
2024-01-16,2587.691162109375,2613.56689453125,2500.00390625,2510.627197265625,11063317095,2517.6563012332927,12274626.308965238,5.22,36.888126668,3.6,24254117547.0,4555,158295309.9,79147.65497,0.030392806292802277,0.02994009487308702,,,2511.36376953125,0.018858341938417844,1.0025056233503031,25.056233503031322,9.863013698630138e-05,0.00039573827485,0.14444447032024998,,,1.100055474054074,1.1053243939960558,0.015592141421251138,1.0624470734745273
2024-01-17,2528.369384765625,2592.737060546875,2508.432861328125,2587.044677734375,10441017520,2588.100559692717,23619777.64266224,5.24,40.102180616,3.5,23424673089.0,4342,136928560.7,68464.28036,-0.022924597112815248,-0.02319145193667982,,,2587.691162109375,0.02798009340072216,1.0001582095998691,1.5820959986911909,9.589041095890412e-05,0.00034232140180000004,0.12494731165700002,,,1.0748371455096373,1.136251473778162,-0.011119977154607623,1.0506326862895108
